playerName,sport,year,brand,cardSet,condition,purchasePrice,currentValue,notes,cardNumber
Lionel Messi,Soccer,2024,Topps,Topps UEFA,New,0,5.743571428571429,2024-25 Topps UEFA Club Competitions Historic Captains HC4 Lionel Messi,HC4
Pedro de La Vega,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,19.94909090909091,2024 Topps Finest MLS 231 Pedro de La Vega Neon Green Refractor,231
Cristian Arango,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,20.9,2024 Topps Finest MLS 101 Cristian Arango Aqua Refractor,101
Martin Odegaard,Soccer,2024,Panini,Panini Donruss,New,0,4.664,2024-25 Panini Donruss FIFA 92 Martin Odegaard Silver,92
Julian Justvan,Soccer,2023,Topps,Topps Chrome Bundesliga,New,0,0,2023-24 Topps Chrome Bundesliga 1963 Topps Autographs JJ Julian Justvan,1963
Emiliano Martinez,,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 19 Aaron Hickey Red Ice,15
Matty Cash,,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 116 Bryan Mbeumo Red Ice,13
Gabriel Martinelli,,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 18 Nathan Collins Red Ice,223
Kai Havertz,,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 228 Ivan Toney Red Ice,110
Fabio Vieira,,2023,Panini,2023-24 Panini Select Premier League Select Future,New,0,0,2023-24 Panini Select Premier League 117 Yoane Wissa,3
Gabriel Jesus,,2022,Topps,2022-23 Topps Merlin Chrome UEFA Club Competitions,New,0,0,2023-24 Panini Select Premier League Unstoppable 4 Mathias Jensen,16
William Saliba,,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 203 Ollie Watkins Red Ice,10
Bukayo Saka,,2023,Panini,2023-24 Panini Select Premier League Select Stars,New,0,4.6187499999999995,2023-24 Panini Select Premier League 227 Jhon Duran Red Ice,2
Eddie Nketiah,,2022,Topps,2022-23 Topps Merlin Chrome UEFA Club Competitions,New,0,0,2023-24 Panini Prizm Premier League 109 Jhon Duran Orange Mosaic,13
Emiliano Martinez,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 14 Morgan Rogers Red Ice,15
William Saliba,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 15 Emiliano Martinez Red Ice,225
Martin Odegaard,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 13 Matty Cash Red Ice,222
Kai Havertz,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 223 Gabriel Martinelli Red Ice,110
Declan Rice,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 110 Kai Havertz Red Ice,221
Martin Odegaard,Soccer,2023,Topps,2023-24 Topps Merlin UEFA Club Competitions,New,0,0,2023-24 Panini Select Premier League Select Future 3 Fabio Vieira,14
Martin Odegaard,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2022-23 Topps Merlin Chrome UEFA Club Competitions 16 Gabriel Jesus Refractor,2
Lucas Paqueta,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 10 William Saliba Red Ice,19
Michail Antonio,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League Select Stars 2 Bukayo Saka,193
Jarrod Bowen,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2022-23 Topps Merlin Chrome UEFA Club Competitions 13 Eddie Nketiah Refractor,249
Nayef Aguerd,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 15 Emiliano Martinez Red,93
Jarrod Bowen,Soccer,2023,Panini,2023-24 Panini Select Premier League Select Stars,New,0,0,2023-24 Panini Select Premier League 225 William Saliba Red Ice,19
Jarrod Bowen,Soccer,2023,Panini,2023-24 Panini Select Premier League Select Stars,New,0,0,2023-24 Panini Select Premier League 222 Martin Odegaard Red Ice,19
Pedro Neto,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 110 Kai Havertz,97
Jean-Ricner Bellegarde,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 221 Declan Rice Purple,99
Matheus Cunha,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League Equalizers 2 Martin Odegaard,220
Matheus Cunha,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Topps Merlin UEFA Club Competitions 14 Martin Odegaard,220
Hee-Chan Hwang,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League Equalizers 19 Lucas Paqueta,250
Hee-Chan Hwang,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 193 Michail Antonio,199
Hee-Chan Hwang,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 249 Jarrod Bowen Red Ice,20
Mario Lemina,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League 93 Nayef Aguerd Red Ice,200
Matheus Cunha,Soccer,2023,Panini,2023-24 Panini Select Premier League,New,0,0,2023-24 Panini Select Premier League Select Stars 19 Jarrod Bowen,20
Riqui Puig,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League Select Stars 19 Jarrod Bowen Blue Pulsar,202
Riqui Puig,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League 97 Pedro Neto Red Ice,100
Diego Fagundez,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League 99 Jean-Ricner Bellegarde Red Ice,263
Gabriel Pec,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League 220 Matheus Cunha Red,30
Zlatan Ibrahimovic,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League 220 Matheus Cunha Red Ice,MLS9
Lucho Acosta,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League 250 Hee-Chan Hwang Red Ice,218
Benja Cremaschi,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League 199 Hee-Chan Hwang Pink Ice,96
Cristian Espinoza,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League Unstoppable 20 Hee-Chan Hwang,269
Jack Mcglynn,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League Equalizers 20 Matheus Cunha,222
Ryan Gauld,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2023-24 Panini Select Premier League 200 Mario Lemina Red Ice,211
Sergio Busquets,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 202 Riqui Puig Oil Spill Refractor,DO10
Lionel Messi,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 100 Riqui Puig Refractor,10
